mara1;mara2;half1;half2;ten1;ten2
02:38:16;02:38:34;01:20:17;01:20:21;00:38:53;00:38:56
02:38:16;02:38:34;01:20:17;01:20:24;00:39:03;00:39:06
02:38:20;02:38:33;01:20:20;01:20:21;00:39:05;00:39:08
02:38:20;02:38:33;01:20:27;01:20:34;00:39:05;00:39:08
02:38:21;02:38:39;01:20:39;01:20:43;00:39:13;00:39:16
02:38:21;02:38:39;01:20:39;01:20:47;00:39:13;00:39:16
02:38:25;02:38:36;01:20:42;01:20:45;00:39:14;00:39:17
02:38:28;02:39:33;01:20:42;01:20:47;00:39:14;00:39:17
02:38:33;02:38:51;01:20:50;01:20:59;00:39:15;00:39:18
02:38:33;02:38:51;01:20:56;01:21:05;00:39:17;00:39:20
02:38:38;02:39:04;01:21:00;01:21:08;00:39:18;00:39:21
02:39:01;02:39:14;01:21:03;01:21:11;00:39:19;00:39:22
02:39:01;02:39:14;01:21:09;01:21:15;00:39:23;00:39:26
02:39:03;02:40:40;01:21:09;01:21:17;00:39:26;00:39:29
02:39:05;02:39:23;01:21:09;01:21:19;00:39:30;00:39:33
02:39:13;02:39:29;01:21:17;01:23:56;00:39:32;00:39:35
02:39:16;02:39:40;01:21:19;01:21:23;00:39:34;00:39:37
02:39:16;02:39:40;01:21:19;01:21:25;00:39:34;00:39:37
02:39:20;02:39:26;01:21:20;01:21:22;00:39:38;00:39:41
02:39:20;02:40:06;01:21:22;01:21:31;00:39:40;00:39:43
02:39:26;02:40:35;01:21:25;01:21:31;00:39:43;00:39:46
02:39:35;02:39:47;01:21:26;01:21:29;00:39:44;00:39:48
02:39:36;02:39:49;01:21:32;01:23:05;00:39:44;00:39:48
02:39:41;02:39:53;01:21:34;01:21:51;00:39:44;00:39:48
02:39:47;02:40:01;01:21:35;01:21:37;00:39:45;00:39:49
02:39:50;02:40:12;01:21:42;01:22:51;00:39:49;00:39:53
02:40:10;02:40:29;01:21:43;01:21:51;00:39:50;00:39:54
02:40:13;02:40:41;01:21:44;01:21:46;00:39:51;00:39:55
02:40:13;02:40:50;01:21:45;01:21:58;00:39:52;00:39:56
02:40:18;02:40:28;01:21:48;01:21:51;00:39:53;00:39:57
02:40:37;02:40:47;01:21:55;01:21:57;00:39:53;00:39:57
02:40:46;02:41:05;01:21:55;01:22:02;00:39:54;00:39:58
02:40:51;02:40:57;01:21:57;01:22:04;00:39:54;00:39:58
02:40:51;02:41:07;01:21:57;01:22:05;00:39:56;00:40:00
02:40:57;02:41:25;01:22:01;01:22:17;00:39:56;00:40:00
02:41:00;02:43:49;01:22:04;01:22:05;00:39:56;00:40:00
02:41:00;02:43:49;01:22:09;01:22:13;00:39:59;00:40:03
02:41:11;02:41:12;01:22:14;01:22:19;00:39:59;00:40:03
02:41:12;02:41:34;01:22:17;01:22:25;00:40:04;00:40:08
02:41:12;02:41:34;01:22:18;01:22:24;00:40:09;00:40:13
02:41:16;02:41:32;01:22:19;01:22:27;00:40:11;00:40:15
02:41:34;02:41:34;01:22:19;01:22:49;00:40:11;00:40:15
02:41:39;02:41:53;01:22:20;01:22:40;00:40:13;00:40:17
02:41:49;02:42:26;01:22:21;01:22:27;00:40:15;00:40:19
02:41:49;02:42:27;01:22:22;01:22:38;00:40:15;00:40:20
02:41:53;02:43:07;01:22:23;01:22:24;00:40:16;00:40:21
02:42:08;02:42:38;01:22:29;01:22:32;00:40:19;00:40:24
02:42:08;02:42:38;01:22:29;01:22:33;00:40:19;00:40:24
02:42:17;02:42:47;01:22:29;01:22:38;00:40:20;00:40:25
02:42:17;02:42:47;01:22:30;01:22:36;00:40:21;00:40:26
02:42:21;02:42:55;01:22:32;01:22:41;00:40:22;00:40:27
02:42:21;02:42:55;01:22:32;01:22:41;00:40:22;00:40:27
02:42:36;02:43:00;01:22:32;01:22:56;00:40:24;00:40:29
02:42:39;02:42:45;01:22:36;01:22:38;00:40:25;00:40:30
02:42:40;02:42:46;01:22:36;01:22:43;00:40:25;00:40:30
02:42:43;02:42:59;01:22:37;01:22:48;00:40:26;00:40:31
02:42:48;02:43:10;01:22:38;01:23:01;00:40:26;00:40:31
02:42:48;02:43:10;01:22:41;01:22:48;00:40:27;00:40:32
02:43:09;02:43:21;01:22:42;01:30:46;00:40:30;00:40:35
02:43:21;02:43:37;01:22:46;01:23:01;00:40:32;00:40:37
02:43:23;02:43:57;01:22:47;01:22:57;00:40:33;00:40:38
02:43:34;02:44:51;01:22:48;01:23:00;00:40:39;00:40:44
02:43:40;02:46:23;01:22:51;01:22:56;00:40:40;00:40:45
02:43:44;02:45:46;01:22:52;01:23:01;00:40:42;00:40:47
02:44:03;02:44:28;01:22:53;01:22:58;00:40:44;00:40:49
02:44:05;02:44:21;01:22:57;01:23:05;00:40:47;00:40:52
02:44:05;02:44:21;01:23:02;01:23:07;00:40:47;00:40:52
02:44:14;02:44:20;01:23:03;01:23:23;00:40:51;00:40:56
02:44:14;02:44:20;01:23:05;01:23:16;00:40:52;00:40:58
02:44:16;02:44:44;01:23:08;01:23:17;00:40:56;00:41:02
02:44:16;02:44:44;01:23:11;01:23:13;00:40:57;00:41:03
02:44:26;02:44:48;01:23:13;01:25:26;00:40:57;00:41:03
02:44:26;02:44:48;01:23:14;01:23:20;00:40:58;00:41:04
02:44:35;02:44:37;01:23:15;01:23:29;00:40:58;00:41:04
02:44:46;02:45:21;01:23:20;01:23:31;00:40:58;00:41:04
02:44:52;02:45:20;01:23:22;01:23:24;00:41:00;00:41:06
02:44:52;02:45:20;01:23:22;01:23:54;00:41:01;00:41:07
